Data Field,Survey Question,Notes
q12JobCritImpactwithProduct,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritInterestProblems,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritFundingandValuation,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritStability,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritProfGrowth,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q12JobCritOther,What are the top 3 most important things you look for in a company when looking for job opportunities?(Choose 3),
q0012_other,Other (please specify),
q13EmpMeasWhiteboard,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasHackerRank,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasOtherCodingChallenge,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasTechPhoneInt,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasTakeHomeProject,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasResume,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasPastWork,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q13EmpMeasOther,"Based on your last job hunting experience, how did employers measure your skills?Check all that apply",
q0013_other,Other (please specify),
q14GoodReflecAbilities,Did you feel these were a good reflection of your abilities?,
q15Level2,"You completed Level 2 of 4! To unlock the next level, solve this quick challenge and answer one quick question below.What does this function do?# n is an integer     def function(n):           for i in range(n):                  print ""Hello, World!""","right answer: 1 or 'prints  ""Hello World!"" n times'"
q16HiringManager,Do you interview people as part of your company's hiring process?,skip if q9CurrentRole is student or unemployed
q17HirChaInterviews,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaHardAssessSkills,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaNotEnoughTalent,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaNoDiversCandidates,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaCompfromCompanies,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaJobDescript,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q17HirChaOther,What are some of the biggest challenges you face when hiring technical talent?Check all that apply.,shown if q16HiringManager == Yes
q0017_other,Other (please specify),shown if q16HiringManager == Yes
q18NumDevelopHireWithinNextYear,How many developers are you hiring over the next year?,shown if q16HiringManager == Yes
q19TalToolResumeScreen,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolReferral,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolHackerRank,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolOtherProbSolv,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolPersTest,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolRemoteorLiveIntTool,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolOutsourceHumIntPanel,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q19TalToolOther,Which talent assessment tools are you using in your recruiting process at the first step of the interview process? Check all that apply.,shown if q16HiringManager == Yes
q0019_other,Other (please specify),shown if q16HiringManager == Yes
q20CandYearExp,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandCompScienceDegree,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandCodingBootcamp,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandSkillCert,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandHackerRankActivity,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandOtherCodingCommAct,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandGithubPersProj,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandOpenSourceContrib,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandHackathonPart,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandPrevWorkExp,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandPrestigeDegree,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandLinkInSkills,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20CandGithubPersProj2,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q20Other,What are the top 3 most important qualifications you look for in an engineering candidate before the onsite? Check up to 3.,shown if q16HiringManager == Yes
q0020_other,Other (please specify),shown if q16HiringManager == Yes
q21CoreCompProbSolv,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompProgLang,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompFrameworkProf,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompDebugging,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompCodebaseNav,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompPerfOpt,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompCodeReview,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompDatabaseDesign,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompSysDesign,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q21CoreCompTesting,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfAgnostic,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfC,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfCPlusPlus,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfJava,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfPython,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfRuby,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfJavascript,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfCSharp,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfGo,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfScala,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfPerl,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfSwift,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfPascal,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfClojure,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfPHP,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfHaskell,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfLua,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfR,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q22LangProfOther,Which of these core competencies do you look for in software developer candidates? Check all that apply.,shown if q16HiringManager == Yes
q0022_other,Other (please specify),shown if q16HiringManager == Yes
q23FrameAngularJS,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameReact,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameVueDotJS,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameEmber,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameBackboneDotJS,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameSpring,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameJSF,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameStruts,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameNodeDotJS,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameExpressJS,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameMeteor,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameDjango,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FramePyramid,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameRubyonRails,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FramePadrino,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameASP,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameNetCore,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameCocoa,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameReactNative,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameRubyMotion,Which frameworks do you look for?,shown if q16HiringManager == Yes
q23FrameOther,Which frameworks do you look for?,shown if q16HiringManager == Yes
q0023_other,Other (please specify),shown if q16HiringManager == Yes
q24VimorEmacs,Vim or Emacs?,
q0024_other,Other (please specify),
q25LangC,C,
q25LangCPlusPlus,C++,
q25LangJava,Java,
q25LangPython,Python,
q25LangRuby,Ruby,
q25LangJavascript,Javascript,
q25LangCSharp,C#,
q25LangGo,Go,
q25Scala,Scala,
q25LangPerl,Perl,
q25LangSwift,Swift,
q25LangPascal,Pascal,
q25LangClojure,Clojure,
q25LangPHP,PHP,
q25LangHaskell,Haskell,
q25LangLua,Lua,
q25LangR,R,
q25LangRust,Rust,
q25LangTypescript,Typescript,
q25LangKotlin,Kotlin,
q25LangJulia,Julia,
q25LangErlang,Erlang,
q25LangOcaml,Ocaml,
q25LangOther,Other (please specify),
q26FrameLearnAngularJS,AngularJS,
q26FrameLearnReact,React,
q26FrameLearnVueDotjs,Vue.js,
q26FrameLearnEmber,Ember,
q26FrameLearnBackboneDotjs,Backbone.js,
q26FrameLearnSpring,Spring,
q26FrameLearnJSF,JSF,
q26FrameLearnStruts,Struts,
q26FrameLearnDjango,Django,
q26FrameLearnPyramid,Pyramid,
q26FrameLearnRubyonRails,Ruby on Rails,
q26FrameLearnPadrino,Padrino,
q26FrameLearnASP,ASP,
q26FrameLearnNetCore,.NETCore,
q26FrameLearnNodeDotjs,Node.js,
q26FrameLearnExpressJS,ExpressJS,
q26FrameLearnMetero,Meteor,
q26FrameLearnCocoa,Cocoa,
q26FrameLearnReactNative,React Native,
q26FrameLearnRubyMotion,Ruby Motion,
q26FrameLearnPadrino2,Padrino,
q26FrameLearnDjango2,Django,
q26FrameLearnPyramid2,Pyramid,
q0026_other,Other (please specify),
q27EmergingTechSkill,Which emerging tech skill are you currently learning or looking to learn in the next year?,
q0027_other,Other (please specify),
q28LoveC,C,
q28LoveCPlusPlus,C++,
q28LoveJava,Java,
q28LovePython,Python,
q28LoveRuby,Ruby,
q28LoveJavascript,Javascript,
q28LoveCSharp,C#,
q28LoveGo,Go,
q28LoveScala,Scala,
q28LovePerl,Perl,
q28LoveSwift,Swift,
q28LovePascal,Pascal,
q28LoveClojure,Clojure,
q28LovePHP,PHP,
q28LoveHaskell,Haskell,
q28LoveLua,Lua,
q28LoveR,R,
q28LoveRust,Rust,
q28LoveKotlin,Kotlin,
q28LoveTypescript,Typescript,
q28LoveErlang,Erlang,
q28LoveJulia,Julia,
q28LoveOCaml,Ocaml,
q28LoveOther,Other (please specify),
q29FrameLoveAngularJS,AngularJS,
q29FrameLoveReact,React,
q29FrameLoveVuedotjs,Vue.js,
q29FrameLoveEmber,Ember,
q29FrameLoveBackboneDotjs,Backbone.js,
q29FrameLoveSpring,Spring,
q29FrameLoveJSF,JSF,
q29FrameLoveStruts,Struts,
q29FrameLoveDjango,Django,
q29FrameLovePyramid,Pyramid,
q29FrameLoveRubyonRails,Ruby on Rails,
q29FrameLovePadrino,Padrino,
q29FrameLoveASP,ASP,
q29FrameLoveNetCore,.NETCore,
q29FrameLoveNodeDotjs,Node.js,
q29FrameLoveExpressJS,ExpressJS,
q29FrameLoveMeteor,Meteor,
q29FrameLoveCocoa,Cocoa,
q29FrameLoveReactNative,React Native,
q29FrameLoveRubyMotion,Ruby Motion,
q0029_other,Other (please specify),
q30LearnCodeStackOverflow,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeYoutube,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeMOOC,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeCompCodingSites,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeOnlineTutorial,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeBooks,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeAcademicPaper,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q30LearnCodeOther,"Besides HackerRank, which other resources do you use to practice and learn coding? Check all that apply.",
q0030_other,Other (please specify),
q31Level3,"Woo hoo... you completed Level 3 of 4! To unlock Level 4, solve this quick challenge: Which of these mean that 'num' is even?",right answer: 1 or num%2 == 0
q32RecommendHackerRank,Would you recommend HackerRank to a friend?,
q0032_other,Other (please specify),
q33HackerRankChallforJob,Have you ever taken a HackerRank challenge as part of a job interview?,
q34PositiveExp,How positive was your experience?,Shown if q33HackerRankChallforJob == Yes; rating of 0-5
q34IdealLengHackerRankTest,What do you think is the ideal length of a HackerRank test as part of the job interview?,Shown if q33HackerRankChallforJob == Yes
q0035_other,Other (please specify),
q36Level4,Which of the following is useful in traversing a given graph by breadth-first search?,right answer: 2 or Queue
